"state","decision","correct","count","winning_prob"
"731","1,1",122,239,0.51
"732","1,1",236,484,0.49
"733","1,1",64,129,0.5
"74","1,1",15,30,0.5
"741","1,1",63,143,0.44
"742","1,1",1542,1957,0.79
"743","1,1",332,1054,0.31
"75","1,1",51,103,0.5
"751","1,1",527,1025,0.51
"752","1,1",53,105,0.5
"753","1,1",823,1645,0.5
"21","1,2",16964,16964,1
"211","1,2",0,266,0
"22","1,2",0,1510,0
"221","1,2",92,190,0.48
"222","1,2",18,25,0.72
"3","1,2",4630,4630,1
"31","1,2",0,1157,0
"311","1,2",1013,1013,1
"32","1,2",564,1491,0.38
"321","1,2",172,604,0.28
"322","1,2",32,72,0.44
"33","1,2",240,805,0.3
"331","1,2",76,176,0.43
"332","1,2",42,85,0.49
"333","1,2",24,48,0.5
"4","1,2",0,329,0
"41","1,2",125,259,0.48
"411","1,2",19,55,0.35
"42","1,2",2370,2714,0.87
"421","1,2",30,84,0.36
"422","1,2",9,33,0.27
"43","1,2",230,486,0.47
"431","1,2",733,1000,0.73
"432","1,2",45,132,0.34
"433","1,2",24,62,0.39
"44","1,2",345,1770,0.19
"441","1,2",16,58,0.28
"442","1,2",3,15,0.2
"443","1,2",16,33,0.48
"5","1,2",94,253,0.37
"51","1,2",94,266,0.35
"511","1,2",29,78,0.37
"52","1,2",102,178,0.57
"521","1,2",389,574,0.68
"522","1,2",9,20,0.45
"53","1,2",1895,3030,0.63
"531","1,2",157,342,0.46
"532","1,2",100,210,0.48
"533","1,2",121,241,0.5
"54","1,2",36,69,0.52
"541","1,2",57,194,0.29
"542","1,2",9,24,0.38
"543","1,2",240,516,0.47
"55","1,2",20,51,0.39
"551","1,2",20,49,0.41
"552","1,2",21,45,0.47
"553","1,2",48,114,0.42
"6","1,2",21,45,0.47
"61","1,2",23,57,0.4
"611","1,2",5,10,0.5
"62","1,2",13,27,0.48
"621","1,2",12,24,0.5
"622","1,2",2,5,0.4
"63","1,2",82,170,0.48
"631","1,2",39,79,0.49
"632","1,2",10,26,0.38
"633","1,2",30,51,0.59
"64","1,2",1113,1287,0.86
"641","1,2",6,16,0.38
"642","1,2",51,249,0.2
"643","1,2",14,31,0.45
"65","1,2",20,42,0.48
"651","1,2",17,32,0.53
"652","1,2",22,38,0.58
"653","1,2",30,67,0.45
"7","1,2",38,98,0.39
"71","1,2",52,107,0.49
"711","1,2",14,31,0.45
"72","1,2",39,89,0.44
